text,label
"""Most of the <e1>steam</e1> comes from a volcano's <e2>magma</e2>.""",product-producer
"""The <e1>cabin passengers</e1> composed the <e2>elite</e2> -- the créme de la créme.""",product-producer
"""Well, this <e1>footballer</e1> kicked the <e2>ball</e2> the hardest he could and hit me.""",instrument-agency
"""<e1>Germanium</e1> is found in <e2>germanite</e2>, argyrodite, and some zinc ores.""",part-whole
"""Craig expressed his <e1>frustration</e1> after Monday's <e2>meeting</e2>.""",cause-effect
"""The mesopause separates the <e1>mesosphere</e1> from the <e2>thermosphere</e2>.""",origin-entity
"""And she added a <e1>question mark</e1> to complete the <e2>paragraph</e2>.""",part-whole
"""I am installing lights under the <e1>cabinets</e1> in my <e2>kitchen</e2>.""",content-container
"""Put <e1>tea</e1> in a <e2>heat-resistant jug</e2> and add the boiling water.""",content-container
"""These images were acquired by MSSS cameras and include <e1>thousands</e1> of <e2>pictures</e2> from Mars Global Surveyor.""",part-whole
"""Then something caught the man's <e1>eye</e1> just above the <e2>clouds</e2>.""",part-whole
"""Like normal 'Simon' games, it starts with a one digit sequence, and then increases indefinitely until the <e1>caller</e1> makes a <e2>mistake</e2>.""",product-producer
"""A White House <e1>usher</e1> prepares the <e2>blue room</e2> for a luncheon for the European Commission.""",product-producer
"""Because the ice in the smoothie has to be crushed and blended with the other ingredients, a <e1>smoothie</e1> <e2>maker</e2> is usually the appliance of choice.""",product-producer
"""According to Staten, the company's <e1>storage strategy</e1> is derived from customer's <e2>needs</e2>.""",product-producer
"""The <e1>patient</e1> literally sawed it in half using a hard <e2>toothbrush</e2> over a period of many years.""",instrument-agency
"""The hyperlink is coded so that the <e1>text</e1> <e2>description</e2> is a full URL.""",theme_tool
"""There was a persistent rumor that the contents of the <e1>cornerstone</e1> included a <e2>liquor bottle</e2> that would have had 49 years to age.""",content-container
"""The <e1>fruit basket</e1> contained <e2>apples</e2>, oranges and bananas.""",content-container
"""The viewer looks through an <e1>eyehole</e1> in the <e2>metal box</e2> into the abyss, an infinite regression/progression of mirrors reflecting themselves.""",content-container
"""<e1>Inhibition</e1> through <e2>synaptic depression</e2> is unlike the previous forms of inhibition in that it turns on more slowly and thus acts as delayed negative feedback.""",cause-effect
